Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Order Year,Order Month,Order Month Name,Order Quarter,Shipping Days,Profit Margin
CA-198797,2024-10-06,2025-05-01,Second Class,CUST-4170,Ruben Ramirez,Home Office,South,Technology,Copiers,Virtual didactic synergy,2467.49,9,0.29,617.24,2024,10,October,4,207,25.014893677380662
CA-233440,2023-06-12,2025-05-05,First Class,CUST-1196,Jesse Ortega,Home Office,Central,Furniture,Furnishings,Operative reciprocal projection,2751.66,1,0.09,922.14,2023,6,June,2,693,33.51213449336037
CA-691533,2024-04-18,2025-04-24,Standard Class,CUST-2985,Kathryn Castro,Corporate,East,Furniture,Chairs,Multi-lateral incremental knowledge user,1199.66,9,0.03,220.44,2024,4,April,2,371,18.37520630845406
CA-277218,2023-11-02,2025-05-07,First Class,CUST-2412,Sharon Taylor,Consumer,South,Office Supplies,Labels,Integrated bifurcated groupware,2335.57,6,0.3,620.16,2023,11,November,4,552,26.552832927293977
CA-311967,2023-07-15,2025-04-14,First Class,CUST-3728,David Murillo,Corporate,South,Office Supplies,Binders,Re-contextualized human-resource benchmark,2540.88,5,0.03,258.06,2023,7,July,3,639,10.156323793331444
CA-990541,2023-09-20,2025-04-17,Same Day,CUST-6746,Gabriel Donaldson,Home Office,East,Office Supplies,Storage,Programmable grid-enabled benchmark,1454.47,4,0.42,272.28,2023,9,September,3,575,18.720221111470156
CA-500069,2024-11-03,2025-05-08,Standard Class,CUST-6658,Colleen Rose,Corporate,West,Office Supplies,Storage,Switchable secondary database,4381.97,2,0.37,749.22,2024,11,November,4,186,17.097789350451965
CA-701472,2023-08-12,2025-04-23,First Class,CUST-4421,Grant Garcia,Home Office,East,Office Supplies,Storage,Public-key human-resource installation,1152.75,3,0.46,426.2,2023,8,August,3,620,36.97245716764259
CA-670780,2024-12-11,2025-04-28,Second Class,CUST-8240,Mr. Robert Le Jr.,Home Office,South,Office Supplies,Storage,Customizable cohesive hierarchy,285.06,3,0.28,955.55,2024,12,December,4,138,335.210131200449
CA-497042,2025-03-21,2025-04-17,Second Class,CUST-8318,Ryan Alvarez,Corporate,South,Furniture,Furnishings,Stand-alone hybrid collaboration,1033.52,9,0.29,847.17,2025,3,March,1,27,81.96938617540057
CA-438588,2024-06-24,2025-05-04,Second Class,CUST-6579,Jamie Clark,Consumer,Central,Furniture,Chairs,Open-source client-driven architecture,2116.64,4,0.42,612.47,2024,6,June,2,314,28.935955098646915
CA-110647,2023-11-27,2025-05-06,First Class,CUST-5407,Mark Wright,Corporate,South,Office Supplies,Binders,User-centric intermediate infrastructure,1751.7,10,0.19,-76.33,2023,11,November,4,526,-4.357481303876234
CA-450439,2024-09-23,2025-04-12,First Class,CUST-2133,Tyler Flores,Home Office,Central,Office Supplies,Labels,Versatile secondary moratorium,3526.36,6,0.05,-71.16,2024,9,September,3,201,-2.017944849646661
CA-541703,2024-08-10,2025-04-22,First Class,CUST-4767,Ashley Harrington,Home Office,East,Office Supplies,Binders,Cross-platform impactful projection,137.02,10,0.35,797.67,2024,8,August,3,255,582.1558896511458
CA-868444,2024-12-31,2025-04-26,Same Day,CUST-7568,Taylor Day,Consumer,South,Office Supplies,Paper,User-friendly composite productivity,2655.39,7,0.46,838.36,2024,12,December,4,116,31.57201013787052
CA-243523,2023-11-26,2025-05-04,Standard Class,CUST-8297,Stephen Meza,Consumer,South,Furniture,Bookcases,User-centric zero administration contingency,3005.45,8,0.46,266.5,2023,11,November,4,525,8.867224542081885
CA-542569,2024-10-25,2025-04-18,First Class,CUST-3337,Lauren Gonzalez,Home Office,Central,Furniture,Furnishings,Right-sized bandwidth-monitored application,3138.99,10,0.08,437.46,2024,10,October,4,175,13.93632983857865
CA-556978,2023-12-14,2025-04-30,Standard Class,CUST-7804,Jessica Taylor,Consumer,South,Furniture,Chairs,Integrated actuating Graphical User Interface,1163.76,2,0.09,290.99,2023,12,December,4,503,25.004296418505533
