Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-198797,2024-10-06,2025-05-01,Second Class,CUST-4170,Ruben Ramirez,Home Office,South,Technology,Copiers,Virtual didactic synergy,2467.49,9,0.29,617.24
CA-233440,2023-06-12,2025-05-05,First Class,CUST-1196,Jesse Ortega,Home Office,Central,Furniture,Furnishings,Operative reciprocal projection,2751.66,1,0.09,922.14
CA-691533,2024-04-18,2025-04-24,Standard Class,CUST-2985,Kathryn Castro,Corporate,East,Furniture,Chairs,Multi-lateral incremental knowledge user,1199.66,9,0.03,220.44
CA-277218,2023-11-02,2025-05-07,First Class,CUST-2412,Sharon Taylor,Consumer,South,Office Supplies,Labels,Integrated bifurcated groupware,2335.57,6,0.3,620.16
CA-311967,2023-07-15,2025-04-14,First Class,CUST-3728,David Murillo,Corporate,South,Office Supplies,Binders,Re-contextualized human-resource benchmark,2540.88,5,0.03,258.06
CA-990541,2023-09-20,2025-04-17,Same Day,CUST-6746,Gabriel Donaldson,Home Office,East,Office Supplies,Storage,Programmable grid-enabled benchmark,1454.47,4,0.42,272.28
CA-500069,2024-11-03,2025-05-08,Standard Class,CUST-6658,Colleen Rose,Corporate,West,Office Supplies,Storage,Switchable secondary database,4381.97,2,0.37,749.22
CA-701472,2023-08-12,2025-04-23,First Class,CUST-4421,Grant Garcia,Home Office,East,Office Supplies,Storage,Public-key human-resource installation,1152.75,3,0.46,426.2
CA-670780,2024-12-11,2025-04-28,Second Class,CUST-8240,Mr. Robert Le Jr.,Home Office,South,Office Supplies,Storage,Customizable cohesive hierarchy,285.06,3,0.28,955.55
CA-497042,2025-03-21,2025-04-17,Second Class,CUST-8318,Ryan Alvarez,Corporate,South,Furniture,Furnishings,Stand-alone hybrid collaboration,1033.52,9,0.29,847.17
CA-438588,2024-06-24,2025-05-04,Second Class,CUST-6579,Jamie Clark,Consumer,Central,Furniture,Chairs,Open-source client-driven architecture,2116.64,4,0.42,612.47
CA-110647,2023-11-27,2025-05-06,First Class,CUST-5407,Mark Wright,Corporate,South,Office Supplies,Binders,User-centric intermediate infrastructure,1751.7,10,0.19,-76.33
CA-450439,2024-09-23,2025-04-12,First Class,CUST-2133,Tyler Flores,Home Office,Central,Office Supplies,Labels,Versatile secondary moratorium,3526.36,6,0.05,-71.16
CA-541703,2024-08-10,2025-04-22,First Class,CUST-4767,Ashley Harrington,Home Office,East,Office Supplies,Binders,Cross-platform impactful projection,137.02,10,0.35,797.67
CA-868444,2024-12-31,2025-04-26,Same Day,CUST-7568,Taylor Day,Consumer,South,Office Supplies,Paper,User-friendly composite productivity,2655.39,7,0.46,838.36
CA-243523,2023-11-26,2025-05-04,Standard Class,CUST-8297,Stephen Meza,Consumer,South,Furniture,Bookcases,User-centric zero administration contingency,3005.45,8,0.46,266.5
CA-542569,2024-10-25,2025-04-18,First Class,CUST-3337,Lauren Gonzalez,Home Office,Central,Furniture,Furnishings,Right-sized bandwidth-monitored application,3138.99,10,0.08,437.46
CA-556978,2023-12-14,2025-04-30,Standard Class,CUST-7804,Jessica Taylor,Consumer,South,Furniture,Chairs,Integrated actuating Graphical User Interface,1163.76,2,0.09,290.99
CA-999214,2025-02-13,2025-04-22,Standard Class,CUST-6138,Frank Butler,Home Office,East,Furniture,Chairs,Phased attitude-oriented workforce,4682.19,4,0.49,242.15
CA-947973,2025-01-05,2025-05-05,Standard Class,CUST-1524,Robin Martinez,Corporate,West,Office Supplies,Binders,Versatile intangible matrices,3906.76,7,0.37,845.27
CA-431867,2023-09-02,2025-05-07,First Class,CUST-3050,Katherine Rodriguez,Corporate,Central,Technology,Copiers,Balanced web-enabled utilization,3509.53,6,0.39,982.2
CA-673639,2024-12-08,2025-05-06,Standard Class,CUST-9800,Monica Williams,Consumer,South,Furniture,Tables,Diverse zero-defect monitoring,2670.44,10,0.4,570.83
CA-129071,2024-06-15,2025-04-23,Same Day,CUST-9684,Ashley James DDS,Home Office,East,Technology,Accessories,Ameliorated scalable Internet solution,2928.51,9,0.22,112.74
CA-216070,2025-01-21,2025-04-12,Same Day,CUST-9869,Kathleen Allen,Corporate,East,Furniture,Furnishings,Optional background algorithm,840.44,3,0.2,957.64
CA-758620,2024-07-10,2025-04-25,Standard Class,CUST-7646,Ashley Wilkerson,Consumer,Central,Technology,Accessories,Devolved cohesive Internet solution,1289.46,3,0.35,-3.03
CA-313149,2023-11-25,2025-04-24,Same Day,CUST-6363,Lori Bradford,Consumer,Central,Office Supplies,Labels,Programmable impactful access,2161.67,1,0.41,84.45
CA-893613,2025-03-27,2025-05-04,Same Day,CUST-4737,Brenda Newman,Corporate,Central,Office Supplies,Paper,Right-sized hybrid policy,1452.81,10,0.14,382.61
CA-616111,2024-07-16,2025-04-30,Standard Class,CUST-2965,Anthony Lamb,Consumer,East,Furniture,Chairs,Enhanced systematic installation,4572.12,3,0.01,430.18
CA-930209,2024-11-13,2025-04-15,Same Day,CUST-2863,Mr. Brad Price,Corporate,East,Technology,Copiers,Automated uniform info-mediaries,2518.96,8,0.25,515.5
CA-522549,2024-07-21,2025-04-24,First Class,CUST-4773,Valerie Ellis,Home Office,Central,Office Supplies,Art,Digitized directional Local Area Network,1235.87,10,0.4,183.41
CA-844927,2023-05-10,2025-04-21,Same Day,CUST-5259,Taylor Jensen,Home Office,East,Office Supplies,Art,Profound executive firmware,379.77,7,0.05,75.01
CA-419746,2025-03-14,2025-04-11,Second Class,CUST-5622,Jennifer Floyd,Consumer,West,Furniture,Furnishings,Organized reciprocal portal,2706.93,9,0.13,244.28
CA-651123,2024-05-04,2025-04-29,Same Day,CUST-5600,Jessica Owens,Consumer,West,Technology,Phones,Universal 6thgeneration circuit,228.36,7,0.08,-56.0
CA-722089,2024-08-13,2025-04-28,Second Class,CUST-6388,Jimmy Macdonald,Corporate,South,Office Supplies,Labels,Self-enabling static adapter,4569.0,5,0.01,-50.27
CA-583454,2024-02-11,2025-04-12,Standard Class,CUST-2342,Timothy Hayes,Corporate,West,Furniture,Chairs,Optional user-facing model,1761.26,3,0.21,-18.53
